6.15,9.54,1402,0.68,0.65,0.45,0.003,1.88,0.23,0.51,0.4,153,0.1298
9.48,10.14,1014,1.25,1.55,0.2,0.008,1.12,0.53,0.38,0.3,84,0.0865
9.13,6.04,955,1.74,0.59,0.67,0.006,1.83,0.62,0.55,0.22,91,0.0655
6.17,9.64,1121,0.9,0.89,0.28,0.015,0.95,0.67,0.49,0.39,120,0.1148
6.78,5.87,822,1.69,1.71,0.47,0.008,0.72,0.23,0.47,0.14,26,0.1196
11.77,7.54,1040,1.29,1.03,0.62,0.004,1.52,0.65,0.23,0.21,162,0.0868
5.92,4.36,1303,0.55,0.73,0.32,0.018,1.3,0.44,0.21,0.28,78,0.2204
10.14,5.5,999,0.32,0.38,0.37,0.006,1.06,0.56,0.31,0.33,76,0.0532
6.45,8.56,1485,0.74,1.18,0.6,0.012,1.19,0.4,0.43,0.15,195,0.2237
10.24,8.78,1065,0.53,0.48,0.48,0.009,1.54,0.49,0.45,0.39,193,0.0605
9.81,11.1,949,1.28,0.5,0.64,0.015,1.7,0.51,0.42,0.31,55,0.0288
7.38,4.48,997,1.47,0.6,0.3,0.014,1.17,0.66,0.32,0.3,151,0.1504
8.25,6.83,1370,0.82,1.31,0.45,0.016,1.79,0.64,0.26,0.3,174,0.1996
7.94,11.25,1417,1.18,0.96,0.66,0.008,0.77,0.41,0.36,0.16,171,0.1043
5.27,7.16,1100,1.37,1.78,0.45,0.016,1.5,0.49,0.49,0.48,166,0.3569
6.44,10.5,1466,0.39,1.48,0.51,0.018,1.5,0.52,0.42,0.42,107,0.1551
8.1,4.54,891,0.51,1.25,0.37,0.017,1.37,0.63,0.45,0.39,107,0.1979 
8.66,6.67,937,1.17,1.23,0.44,0.013,1.04,0.59,0.44,0.25,92,0.1116 
11.56,8.55,970,1.55,0.33,0.67,0.019,1.95,0.65,0.5,0.16,14,0.0131 
5.44,6.26,1487,0.76,0.6,0.24,0.014,0.73,0.5,0.39,0.26,110,0.1844 
