damageLevel,hurt,collapse,deltaP,ammoQuantity,outerSideLength,outerSideWidth,outerHeight,roofThick,wallThick,soilThick,liningPlateThick
2,0.21975,0.0965,4.11E-06,3,8,7,5.5,1.5,1.5,2,0.2
4,0.98339908,0.1494,0.18339908,14,4.5,7,6.5,1.5,0.5,2,0.4
2,0.26385,0.1259,1.08E-05,2,5.5,7,3,1.5,0.5,2,0.15
2,0.1665,0.061,2.16E-06,3,10,7,6,1.5,1.5,2,0.2
1,7.50E-07,0,1.50E-06,2,8.5,7,6.5,1.5,1,2,0.3
4,0.91159545,0.0454,0.11159545,12,10.5,7,6,1.5,1,2,0.45
1,0.1215,0.0405,1.00E-06,5,9,7,6,1.5,0.5,2,0.45
2,0.1719,0.0646,2.53E-06,1,6.5,7,6.5,1.5,1,2,0.15
4,1,0.3023,0.3292486,12,8.5,7,3.5,1.5,1.5,2,0.25
4,0.89814264,0.0987,0.09976783,24,10,7,7,1.5,1,2,0.4
2,0.20295,0.0853,4.97E-06,3,8,7,5,1.5,1.5,2,0.3
1,5.40E-07,0,1.09E-06,5,9.5,7,5.5,1.5,0.5,2,0.4
4,0.98339908,0.2081,0.18339908,19,5.5,7,7.5,1.5,1,2,0.45
4,1,0.321,0.28712025,10,8.5,7,4,1.5,1.5,2,0.2
2,0.2088,0.0892,7.57E-06,6,9.5,7,3.5,1.5,1.5,2,0.4
2,0.16035,0.0569,1.42E-06,6,9.5,7,6,1.5,1,2,0.4
1,3.00E-06,0,6.00E-06,2,5.5,7,5,1.5,1,2,0.45
4,1,0.0094,1.43706006,4,4.5,7,2,1.5,1.5,2,0.1
4,0.92376448,0.1599,0.12376448,5,9,7,5,1.5,0.5,2,0.1
1,1.15E-06,0,2.31E-06,5,9,7,6.5,1.5,1.5,2,0.45
1,2.50E-05,0,5.01E-05,3,7.5,7,2,1.5,1,2,0.2
4,1,0.4304,0.23257692,10,6,7,4,1.5,0.5,2,0.1
4,0.9873351,0.2623,0.1873351,18,9.5,7,3.5,1.5,0.5,2,0.3
1,2.01E-06,0,4.02E-06,1,8.5,7,4,1.5,1,2,0.45
2,0.17295,0.0653,4.11E-06,1,7,7,6.5,1.5,1.5,2,0.1
2,0.153,0.052,1.86E-06,1,9,7,5.5,1.5,1,2,0.15
1,1.28E-05,0,2.57E-05,6,8.5,7,2.5,1.5,1.5,2,0.2
2,0.237,0.108,4.77E-06,5,7,7,3.5,1.5,0.5,2,0.25
2,0.2097,0.0898,9.50E-07,9,9.5,7,7.5,1.5,1,2,0.25
2,0.17565,0.0671,3.48E-06,5,7.5,7,6.5,1.5,1.5,2,0.35
1,2.05E-06,0,4.11E-06,1,10,7,3.5,1.5,1,2,0.25
4,1,0.4098,0.26256299,13,4,7,5,1.5,0.5,2,0.3
2,0.27375,0.1325,1.65E-05,1,6,7,3,1.5,1,2,0.1
2,0.18555,0.0737,2.31E-06,5,6,7,5.5,1.5,0.5,2,0.35
1,8.27E-06,0,1.65E-05,4,10.5,7,2.5,1.5,1.5,2,0.45
2,0.18915,0.0761,5.23E-06,3,8.5,7,3,1.5,0.5,2,0.15
4,1,0.4097,0.3090332,19,8.5,7,3,1.5,1,2,0.25
2,0.18,0.07,2.94E-06,2,6.5,7,6,1.5,1,2,0.2
2,0.2241,0.0994,4.50E-06,3,7,7,4.5,1.5,1,2,0.3
2,0.16485,0.0599,3.48E-06,3,7,7,4,1.5,0.5,2,0.2
4,0.94171254,0.1909,0.14171254,9,9.5,7,7,1.5,1.5,2,0.15
1,5.92E-05,0,0.00011844,3,5,7,2,1.5,1,2,0.3
4,1,0.3612,0.27100455,14,5,7,4,1.5,0.5,2,0.2
4,1,0.5713,0.85701514,13,5,7,2,1.5,1,2,0.1
1,1.42E-06,0,2.83E-06,1,9.5,7,5.5,1.5,1.5,2,0.25
4,1,0.1763,0.25039377,5,6.5,7,4.5,1.5,1,2,0.25
4,0.61207143,0.4569,0.00010247,21,4.5,7,3,1.5,1.5,2,0.45
2,0.1599,0.0566,2.31E-06,4,9,7,6.5,1.5,1.5,2,0.3
2,0.18255,0.0717,2.16E-06,4,7,7,5,1.5,0.5,2,0.3
4,1,0.3783,0.35514862,22,7.5,7,2.5,1.5,0.5,2,0.35
2,0.2037,0.0858,1.71E-06,4,6.5,7,6,1.5,0.5,2,0.3
2,0.27195,0.1313,1.03E-05,9,6.5,7,4.5,1.5,1.5,2,0.45
2,0.1935,0.079,5.90E-07,12,10.5,7,7,1.5,0.5,2,0.3
4,1,0.4985,0.30432279,13,6,7,4,1.5,1,2,0.2
1,2.87E-05,0,5.73E-05,7,4.5,7,2.5,1.5,1,2,0.3
4,1,0.6316,0.58432791,24,5.5,7,2.5,1.5,1,2,0.35
1,8.13E-05,0,0.0001626,3,6,7,2,1.5,1.5,2,0.45
1,4.84E-06,0,9.68E-06,2,4.5,7,5,1.5,1,2,0.35
1,4.80E-07,0,9.50E-07,2,8.5,7,6.5,1.5,0.5,2,0.4
2,0.2241,0.0994,9.30E-06,7,8,7,3,1.5,1,2,0.3
2,0.1788,0.0692,2.31E-06,8,9,7,6.5,1.5,1.5,2,0.4
2,0.25185,0.1179,8.49E-06,5,7,7,4.5,1.5,1.5,2,0.35
1,1.37E-05,0,2.75E-05,2,8,7,2,1.5,0.5,2,0.25
4,0.96486275,0.3555,0.16486275,21,8,7,5.5,1.5,1,2,0.1
1,6.00E-07,0,1.19E-06,5,10.5,7,6,1.5,1,2,0.4
1,1.47E-05,0,2.94E-05,3,6,7,2.5,1.5,1,2,0.2
2,0.2298,0.1032,9.30E-06,14,8,7,3,1.5,1,2,0.45
2,0.1776,0.0684,2.61E-06,6,7.5,7,5.5,1.5,1,2,0.45
3,0.3008,0.1506,1.47E-06,4,6.5,7,6.5,1.5,0.5,2,0.15
1,2.25E-06,0,4.50E-06,3,5,7,6.5,1.5,1,2,0.25
4,1,0.435,0.42336897,11,4,7,4.5,1.5,1,2,0.2
1,7.38E-06,0,1.48E-05,2,8.5,7,2.5,1.5,1,2,0.15
4,1,0.0713,0.24403061,5,9,7,3.5,1.5,1,2,0.25
4,1,0.4896,0.45244943,24,7.5,7,3,1.5,1.5,2,0.3
4,0.90131795,0.0591,0.10131795,8,9,7,6,1.5,0.5,2,0.4
4,0.90362581,0.0808,0.10362581,21,9,7,7.5,1.5,1,2,0.45
4,0.96836199,0.1674,0.16836199,16,7.5,7,4.5,1.5,0.5,2,0.4
2,0.1728,0.0652,2.53E-06,6,8.5,7,4,1.5,0.5,2,0.3
4,0.6926852,0.0486,0.07408565,11,10.5,7,7,1.5,0.5,2,0.4
4,1,0.2803,0.85701514,17,5,7,2,1.5,1,2,0.45
1,1.74E-06,0,3.48E-06,6,6.5,7,5.5,1.5,1,2,0.4
2,0.19095,0.0773,1.03E-05,6,10,7,3,1.5,1.5,2,0.3
3,0.3088,0.1566,1.33E-05,3,5.5,7,5,1.5,1.5,2,0.25
2,0.22185,0.0979,7.18E-06,3,7,7,3,1.5,0.5,2,0.25
1,3.39E-06,0,6.78E-06,3,9.5,7,3,1.5,1,2,0.3
1,1.71E-05,0,3.42E-05,6,7.5,7,2.5,1.5,1.5,2,0.3
4,1,0.5254,0.63829292,11,4.5,7,4,1.5,1.5,2,0.2
2,0.2634,0.1256,4.20E-06,6,6.5,7,5,1.5,1,2,0.3
1,6.38E-06,0,1.28E-05,4,9,7,3,1.5,1.5,2,0.4
2,0.28335,0.1389,1.03E-05,3,10,7,3,1.5,1.5,2,0.2
4,1,0.1286,0.25039377,2,5,7,6,1.5,1,2,0.1
1,4.25E-06,0,8.49E-06,4,5,7,3.5,1.5,0.5,2,0.35
2,0.22575,0.1005,4.02E-06,6,8.5,7,4,1.5,1,2,0.25
1,2.61E-06,0,5.23E-06,3,5.5,7,4,1.5,0.5,2,0.35
3,0.31226667,0.1592,1.33E-05,8,6.5,7,4,1.5,1.5,2,0.35
1,4.65E-06,0,9.30E-06,2,5.5,7,6,1.5,1.5,2,0.3
2,0.2268,0.1012,4.97E-06,2,5.5,7,5.5,1.5,1,2,0.2
2,0.1542,0.0528,2.83E-06,3,9.5,7,5.5,1.5,1.5,2,0.25
1,1.14E-05,0,2.27E-05,4,4,7,7.5,1.5,1.5,2,0.25
3,0.4136,0.2352,1.65E-05,2,4,7,4.5,1.5,1,2,0.2
3,0.3284,0.1713,2.27E-05,5,5,7,2.5,1.5,0.5,2,0.25
2,0.1875,0.075,2.12E-06,5,10.5,7,4.5,1.5,1,2,0.3
1,1.47E-05,0,2.94E-05,5,10,7,2,1.5,1,2,0.3
1,5.70E-06,0,1.14E-05,3,7.5,7,2.5,1.5,0.5,2,0.3
1,1.78E-05,0,3.56E-05,4,9,7,2,1.5,1,2,0.2
1,5.92E-05,0,0.00011844,5,5,7,2,1.5,1,2,0.45
2,0.24255,0.1117,3.83E-06,5,8,7,3.5,1.5,0.5,2,0.3
1,1.52E-06,0,3.04E-06,6,6.5,7,4.5,1.5,0.5,2,0.45
1,0.1302,0.0434,1.09E-06,5,9.5,7,5.5,1.5,0.5,2,0.25
2,0.19125,0.0775,1.71E-06,8,6.5,7,6,1.5,0.5,2,0.3
3,0.33866667,0.179,4.77E-06,5,5,7,4.5,1.5,0.5,2,0.3
4,1,0.4459,0.52674889,19,6.5,7,3,1.5,1.5,2,0.35
4,1,0.2506,0.25039377,4,6.5,7,4.5,1.5,1,2,0.15
4,0.95836415,0.4431,0.15836415,25,4.5,7,7.5,1.5,0.5,2,0.2
3,0.40173333,0.2263,3.56E-05,9,5.5,7,2.5,1.5,1,2,0.4
4,1,0.1006,0.45244943,8,7.5,7,3,1.5,1.5,2,0.4
1,6.70E-07,0,1.35E-06,6,7.5,7,6,1.5,0.5,2,0.4
2,0.15375,0.0525,1.95E-06,2,6.5,7,7.5,1.5,1,2,0.2
1,1.15E-06,0,2.31E-06,6,10.5,7,5.5,1.5,1.5,2,0.45
2,0.285,0.14,8.01E-06,1,6,7,4,1.5,1,2,0.15
1,2.05E-06,0,4.11E-06,8,10,7,3.5,1.5,1,2,0.4
4,1,0.3354,0.39741492,15,8.5,7,3,1.5,1.5,2,0.35
4,1,0.2229,0.26256299,9,6.5,7,6,1.5,1.5,2,0.15
2,0.1845,0.073,3.17E-06,7,9,7,5.5,1.5,1.5,2,0.35
3,0.3804,0.2103,4.43E-05,6,5.5,7,3,1.5,1.5,2,0.45
4,1,0.4,0.34945062,17,10,7,2.5,1.5,1,2,0.25
3,0.34506667,0.1838,6.78E-06,4,4.5,7,6,1.5,1,2,0.25
2,0.258,0.122,8.30E-06,1,8.5,7,3,1.5,1,2,0.1
3,0.30146667,0.1511,2.79E-06,10,5.5,7,7.5,1.5,1,2,0.35
1,9.30E-07,0,1.86E-06,4,10,7,6.5,1.5,1.5,2,0.45
1,4.50E-07,0,9.10E-07,2,8,7,7,1.5,0.5,2,0.25
1,1.34E-06,0,2.68E-06,3,7.5,7,7.5,1.5,1.5,2,0.3
1,3.40E-07,0,6.70E-07,1,9,7,7.5,1.5,0.5,2,0.2
1,1.34E-06,0,2.68E-06,1,7,7,4.5,1.5,0.5,2,0.4
2,0.22935,0.1029,5.10E-06,5,7.5,7,4,1.5,1,2,0.3
4,1,0.3141,0.24403061,23,8,7,5,1.5,1.5,2,0.3
1,6.02E-06,0,1.21E-05,5,5,7,4,1.5,1,2,0.45
2,0.21795,0.0953,5.67E-06,9,10.5,7,3,1.5,1,2,0.35
3,0.35546667,0.1916,5.77E-06,2,4,7,5,1.5,0.5,2,0.15
2,0.15405,0.0527,3.04E-06,1,7.5,7,7,1.5,1.5,2,0.1
2,0.15825,0.0555,1.68E-06,4,8,7,6.5,1.5,1,2,0.3
4,1,0.2179,0.37437166,6,5,7,3,1.5,0.5,2,0.3
1,2.83E-06,0,5.67E-06,3,10.5,7,3,1.5,1,2,0.45
4,0.91159545,0.2417,0.11159545,23,10.5,7,6,1.5,1,2,0.2
4,1,0.4483,0.78708773,20,7.5,7,2,1.5,1.5,2,0.1
1,8.90E-07,0,1.78E-06,2,7,7,5.5,1.5,0.5,2,0.35
3,0.38386667,0.2129,4.04E-05,8,7,7,2.5,1.5,1.5,2,0.45
1,0.00014459,0,0.00028918,4,5,7,2,1.5,1.5,2,0.3
1,5.49E-06,0,1.10E-05,4,7,7,4,1.5,1.5,2,0.35
2,0.2697,0.1298,5.77E-06,10,6.5,7,6,1.5,1.5,2,0.45
4,1,0.4537,0.71887295,25,8.5,7,2,1.5,1.5,2,0.2
2,0.24735,0.1149,6.18E-06,4,6,7,4.5,1.5,1,2,0.3
2,0.1599,0.0566,1.00E-06,5,10,7,5.5,1.5,0.5,2,0.25
1,1.28E-06,0,2.55E-06,6,10,7,5.5,1.5,1.5,2,0.45
1,8.27E-06,0,1.65E-05,5,6,7,3,1.5,1,2,0.45
4,0.93138254,0.2704,0.13138254,17,7.5,7,5.5,1.5,0.5,2,0.2
4,1,0.4522,0.23925824,24,7,7,6,1.5,1.5,2,0.15
2,0.19905,0.0827,3.04E-06,6,6.5,7,4.5,1.5,0.5,2,0.3
4,0.97396078,0.2008,0.17396078,23,9.5,7,4.5,1.5,1,2,0.45
4,1,0.4602,0.41058251,17,4.5,7,3,1.5,0.5,2,0.4
2,0.1665,0.061,1.30E-06,9,8.5,7,5.5,1.5,0.5,2,0.4
2,0.2217,0.0978,7.47E-06,1,4.5,7,4,1.5,0.5,2,0.1
1,7.70E-07,0,1.54E-06,3,10,7,5.5,1.5,1,2,0.3
2,0.1692,0.0628,2.12E-06,1,9.5,7,4,1.5,0.5,2,0.15
4,0.94215635,0.258,0.14215635,17,10.5,7,4,1.5,0.5,2,0.15
2,0.21675,0.0945,5.77E-06,5,7.5,7,5,1.5,1.5,2,0.35
1,2.61E-06,0,5.23E-06,4,5.5,7,4,1.5,0.5,2,0.4
1,1.28E-05,0,2.57E-05,4,8.5,7,2.5,1.5,1.5,2,0.3
3,0.40826667,0.2312,2.75E-05,4,6.5,7,3,1.5,1.5,2,0.2
2,0.2472,0.1148,1.08E-05,8,5.5,7,3,1.5,0.5,2,0.45
4,1,0.5431,0.60511924,24,6.5,7,2,1.5,0.5,2,0.15
4,1,0.0009,0.7973692,8,5.5,7,2,1.5,1,2,0.35
1,8.27E-06,0,1.65E-05,2,8,7,3,1.5,1.5,2,0.4
2,0.15885,0.0559,2.99E-06,5,8,7,6.5,1.5,1.5,2,0.4
3,0.33813333,0.1786,2.94E-05,9,8,7,2.5,1.5,1.5,2,0.4
2,0.15435,0.0529,1.47E-06,1,6.5,7,6.5,1.5,0.5,2,0.15
2,0.15795,0.0553,2.68E-06,5,9,7,6,1.5,1.5,2,0.3
1,1.50E-06,0,2.99E-06,1,8,7,6.5,1.5,1.5,2,0.4
4,0.95225322,0.0412,0.15225322,10,8.5,7,7.5,1.5,1.5,2,0.4
4,1,0.2388,0.330403,11,5.5,7,4,1.5,1,2,0.45
4,1,0.6825,0.58432791,12,5.5,7,2.5,1.5,1,2,0.1
4,1,0.2317,0.78708773,7,7.5,7,2,1.5,1.5,2,0.15
2,0.20835,0.0889,5.10E-06,1,7.5,7,4,1.5,1,2,0.1
4,1,0.5578,0.63829292,12,4.5,7,4,1.5,1.5,2,0.25
4,1,0.5274,0.69247754,19,5,7,2,1.5,0.5,2,0.35
4,1,0.1753,0.22049737,17,7.5,7,6,1.5,1.5,2,0.3
1,5.00E-07,0,1.00E-06,1,10,7,5.5,1.5,0.5,2,0.4
1,6.38E-06,0,1.28E-05,6,7.5,7,3.5,1.5,1.5,2,0.4
1,4.00E-06,0,8.01E-06,4,4.5,7,5.5,1.5,1,2,0.35
4,1,0.0916,0.29070152,6,7,7,3,1.5,0.5,2,0.25
2,0.25215,0.1181,4.77E-06,3,4,7,5.5,1.5,0.5,2,0.2
4,1,0.0003,0.57477845,18,7.5,7,2.5,1.5,1.5,2,0.45
4,1,0.2556,0.28712025,16,7.5,7,3.5,1.5,1,2,0.35
1,2.88E-06,0,5.77E-06,3,7.5,7,5,1.5,1.5,2,0.45
1,7.20E-07,0,1.43E-06,1,10,7,7.5,1.5,1.5,2,0.25
4,0.7058196,0.0628,0.07572745,3,9.5,7,7.5,1.5,0.5,2,0.15
1,6.38E-06,0,1.28E-05,1,7,7,2.5,1.5,0.5,2,0.4
4,1,0.3809,0.29070152,15,5.5,7,3.5,1.5,0.5,2,0.35
2,0.18075,0.0705,3.16E-06,7,7.5,7,5,1.5,1,2,0.4
4,0.97726916,0.3764,0.17726916,25,7.5,7,5.5,1.5,1,2,0.15
2,0.2268,0.1012,4.97E-06,5,10,7,4,1.5,1.5,2,0.3
1,2.50E-05,0,5.01E-05,5,7.5,7,2,1.5,1,2,0.25
1,1.71E-05,0,3.42E-05,2,7.5,7,2.5,1.5,1.5,2,0.2
4,0.99150968,0.2349,0.19150968,17,8.5,7,6,1.5,1.5,2,0.25
1,6.38E-06,0,1.28E-05,2,9,7,3,1.5,1.5,2,0.4
1,6.50E-07,0,1.30E-06,1,8.5,7,5.5,1.5,0.5,2,0.4
1,4.76E-05,0,9.52E-05,9,5.5,7,2,1.5,1,2,0.4
4,1,0.0019,0.46362025,11,9.5,7,2.5,1.5,1.5,2,0.4
4,1,0.2842,0.22240526,19,6,7,5.5,1.5,1,2,0.25
1,0.1353,0.0451,1.50E-06,2,8.5,7,6.5,1.5,1,2,0.2
1,5.60E-07,0,1.13E-06,1,7,7,7,1.5,0.5,2,0.35
4,1,0.225,0.20523421,23,7.5,7,6.5,1.5,1.5,2,0.25
1,1.37E-05,0,2.75E-05,4,4.5,7,2.5,1.5,0.5,2,0.45
2,0.2031,0.0854,4.97E-06,3,6.5,7,6.5,1.5,1.5,2,0.3
2,0.2562,0.1208,9.30E-06,10,10.5,7,3,1.5,1.5,2,0.45
1,5.00E-07,0,1.00E-06,3,9,7,6,1.5,0.5,2,0.45
1,4.00E-07,0,8.10E-07,1,8,7,7.5,1.5,0.5,2,0.4
4,1,0.2169,0.28366688,14,10,7,3.5,1.5,1.5,2,0.4
4,0.92556511,0.1273,0.12556511,17,6.5,7,6.5,1.5,0.5,2,0.4
4,0.99009032,0.1692,0.19009032,4,7,7,5.5,1.5,1,2,0.15
1,5.30E-07,0,1.07E-06,3,9.5,7,7,1.5,1,2,0.45
4,1,0.0848,0.28366688,12,10,7,3.5,1.5,1.5,2,0.35
4,1,0.3904,0.22943277,24,9.5,7,3,1.5,0.5,2,0.4
1,0.1158,0.0386,9.30E-07,7,10.5,7,5.5,1.5,0.5,2,0.45
2,0.24795,0.1153,1.03E-05,1,6,7,5,1.5,1.5,2,0.1
1,6.70E-07,0,1.35E-06,8,7.5,7,6,1.5,0.5,2,0.45
4,1,0.1581,0.37437166,5,6,7,4.5,1.5,1.5,2,0.25
2,0.21045,0.0903,6.99E-06,1,7.5,7,3.5,1.5,1,2,0.1
2,0.19425,0.0795,1.71E-06,7,6.5,7,6,1.5,0.5,2,0.35
2,0.17565,0.0671,2.94E-06,6,6.5,7,6,1.5,1,2,0.4
3,0.32213333,0.1666,3.48E-06,9,7,7,4,1.5,0.5,2,0.25
4,1,0.0014,0.63829292,10,10.5,7,2,1.5,1.5,2,0.25
2,0.1506,0.0504,2.48E-06,11,10.5,7,3.5,1.5,0.5,2,0.45
3,0.38986667,0.2174,9.68E-06,5,4.5,7,5,1.5,1,2,0.3
1,1.30E-06,0,2.61E-06,5,7.5,7,5.5,1.5,1,2,0.45
2,0.2871,0.1414,6.18E-06,7,6,7,3.5,1.5,0.5,2,0.3
4,1,0.4788,0.35514862,19,9.5,7,3,1.5,1.5,2,0.3
4,1,0.556,0.69247754,16,6,7,2.5,1.5,1.5,2,0.25
1,7.50E-07,0,1.51E-06,1,5.5,7,7.5,1.5,0.5,2,0.25
2,0.17535,0.0669,3.10E-06,1,8.5,7,4.5,1.5,1,2,0.1
2,0.24015,0.1101,2.79E-06,7,4.5,7,6.5,1.5,0.5,2,0.3
4,0.9303668,0.1072,0.1303668,21,9,7,6,1.5,1,2,0.4
4,1,0.0914,0.20835622,13,7,7,7,1.5,1.5,2,0.3
2,0.2325,0.105,1.03E-05,2,10,7,3,1.5,1.5,2,0.15
4,0.98339908,0.395,0.18339908,25,5.5,7,7.5,1.5,1,2,0.15
2,0.17775,0.0685,1.13E-06,8,6.5,7,7.5,1.5,0.5,2,0.35
1,1.01E-05,0,2.03E-05,3,9.5,7,2.5,1.5,1.5,2,0.15
2,0.1509,0.0506,1.43E-06,3,9,7,5,1.5,0.5,2,0.2
2,0.2079,0.0886,3.04E-06,2,6.5,7,4.5,1.5,0.5,2,0.2
4,0.97204541,0.2311,0.17204541,12,10.5,7,3.5,1.5,0.5,2,0.1
2,0.15435,0.0529,2.61E-06,1,8.5,7,6.5,1.5,1.5,2,0.15
3,0.3044,0.1533,2.57E-05,11,8.5,7,2.5,1.5,1.5,2,0.45
1,3.73E-06,0,7.47E-06,2,4.5,7,4,1.5,0.5,2,0.35
1,3.09E-06,0,6.18E-06,2,5.5,7,7.5,1.5,1.5,2,0.4
4,1,0.1173,0.20835622,21,7,7,7,1.5,1.5,2,0.3
1,3.09E-06,0,6.18E-06,2,8,7,3.5,1.5,1,2,0.45
2,0.16785,0.0619,1.30E-06,4,6,7,7.5,1.5,0.5,2,0.3
4,0.99150968,0.2218,0.19150968,20,6.5,7,4.5,1.5,0.5,2,0.35
2,0.15045,0.0503,1.95E-06,6,6.5,7,7.5,1.5,1,2,0.4
2,0.1581,0.0554,2.12E-06,4,10.5,7,4.5,1.5,1,2,0.25
1,1.47E-05,0,2.94E-05,7,8,7,2.5,1.5,1.5,2,0.4
1,2.70E-06,0,5.40E-06,7,6,7,7,1.5,1.5,2,0.35
2,0.23805,0.1087,2.79E-06,5,8,7,5,1.5,1,2,0.3
2,0.1572,0.0548,2.79E-06,5,10.5,7,5,1.5,1.5,2,0.35
2,0.1788,0.0692,2.79E-06,1,8,7,5,1.5,1,2,0.15
2,0.21315,0.0921,9.30E-06,4,8,7,3,1.5,1,2,0.3
1,1.62E-06,0,3.24E-06,5,5.5,7,5,1.5,0.5,2,0.45
1,1.15E-06,0,2.31E-06,1,10.5,7,5.5,1.5,1.5,2,0.45
4,0.92259936,0.1331,0.12259936,13,10.5,7,5.5,1.5,1,2,0.35
1,1.81E-06,0,3.62E-06,1,5.5,7,6.5,1.5,1,2,0.35
1,8.40E-07,0,1.68E-06,1,9.5,7,5.5,1.5,1,2,0.3
4,1,0.3859,0.33886861,22,6.5,7,4.5,1.5,1.5,2,0.2
2,0.18,0.07,4.04E-06,2,7.5,7,6,1.5,1.5,2,0.2
2,0.17685,0.0679,2.99E-06,5,6,7,6.5,1.5,1,2,0.4
3,0.36426667,0.1982,1.11E-05,5,4.5,7,3.5,1.5,0.5,2,0.2
2,0.1695,0.063,1.95E-06,2,6,7,6,1.5,0.5,2,0.2
4,0.91716216,0.1693,0.11716216,24,7,7,6.5,1.5,0.5,2,0.35
4,1,0.3328,0.25724641,9,8.5,7,3.5,1.5,1,2,0.2
4,1,0.2658,0.20523421,5,6,7,4.5,1.5,0.5,2,0.1
4,0.85875144,0.0731,0.09484393,9,10.5,7,7,1.5,1,2,0.25
2,0.22185,0.0979,3.83E-06,4,5,7,5,1.5,0.5,2,0.25
2,0.21075,0.0905,8.12E-06,4,6.5,7,3,1.5,0.5,2,0.35
4,1,0.2183,0.57477845,6,4,7,2.5,1.5,0.5,2,0.25
2,0.26895,0.1293,9.30E-06,1,5.5,7,6,1.5,1.5,2,0.15
4,1,0.6366,0.93746133,23,4.5,7,2,1.5,1,2,0.15
1,3.40E-07,0,6.90E-07,6,9.5,7,7,1.5,0.5,2,0.4
1,6.38E-06,0,1.28E-05,7,7,7,2.5,1.5,0.5,2,0.45
4,0.96486275,0.2776,0.16486275,24,6,7,5.5,1.5,0.5,2,0.35
1,1.15E-06,0,2.31E-06,5,10.5,7,5.5,1.5,1.5,2,0.4
4,0.99594516,0.1936,0.19594516,19,9,7,3.5,1.5,0.5,2,0.4
4,1,0.2266,0.27100455,11,10.5,7,3.5,1.5,1.5,2,0.3
4,1,0.1306,0.37437166,7,7.5,7,3.5,1.5,1.5,2,0.3
3,0.4692,0.2769,4.43E-05,5,4.5,7,4,1.5,1.5,2,0.2
1,4.80E-07,0,9.50E-07,4,9.5,7,7.5,1.5,1,2,0.3
2,0.2091,0.0894,1.14E-05,3,9.5,7,3,1.5,1.5,2,0.2
4,1,0.3544,0.46362025,21,9.5,7,2.5,1.5,1.5,2,0.35
2,0.1584,0.0556,2.12E-06,2,10.5,7,4.5,1.5,1,2,0.2
4,1,0.6903,0.60511924,21,6.5,7,2,1.5,0.5,2,0.2
2,0.29925,0.1495,1.03E-05,1,4.5,7,3.5,1.5,0.5,2,0.15
2,0.2937,0.1458,3.04E-06,3,4,7,7,1.5,0.5,2,0.2
2,0.15825,0.0555,3.04E-06,4,7.5,7,7,1.5,1.5,2,0.25
1,4.15E-06,0,8.30E-06,3,8.5,7,3,1.5,1,2,0.25
1,2.70E-06,0,5.40E-06,3,6.5,7,3.5,1.5,0.5,2,0.3
1,2.48E-06,0,4.97E-06,4,8,7,5,1.5,1.5,2,0.45
2,0.17085,0.0639,2.49E-06,1,8.5,7,5,1.5,1,2,0.15
1,5.49E-06,0,1.10E-05,1,5,7,6.5,1.5,1.5,2,0.4
4,0.95225322,0.5196,0.15225322,18,6.5,7,5.5,1.5,0.5,2,0.15
3,0.3064,0.1548,2.14E-05,1,5.5,7,4,1.5,1.5,2,0.15
2,0.2217,0.0978,4.20E-06,6,5.5,7,6,1.5,1,2,0.3
2,0.1503,0.0502,1.68E-06,5,8,7,6.5,1.5,1,2,0.45
1,1.15E-06,0,2.31E-06,4,10.5,7,5.5,1.5,1.5,2,0.35
2,0.23235,0.1049,3.83E-06,7,9,7,5,1.5,1.5,2,0.45
2,0.2628,0.1252,5.23E-06,8,5.5,7,4,1.5,0.5,2,0.35
4,0.94083415,0.1364,0.14083415,20,5,7,7.5,1.5,0.5,2,0.4
4,1,0.3269,0.73398653,18,4.5,7,2,1.5,0.5,2,0.4
2,0.18135,0.0709,2.99E-06,2,6,7,6.5,1.5,1,2,0.2
4,0.94920813,0.1861,0.14920813,15,6,7,6,1.5,0.5,2,0.25
1,8.00E-07,0,1.59E-06,2,7.5,7,5.5,1.5,0.5,2,0.35
2,0.1983,0.0822,2.55E-06,2,10,7,5.5,1.5,1.5,2,0.1
2,0.24825,0.1155,6.18E-06,3,5,7,4,1.5,0.5,2,0.25
4,0.90131795,0.1106,0.10131795,12,9,7,6,1.5,0.5,2,0.3
4,0.98339908,0.31,0.18339908,23,8,7,4,1.5,0.5,2,0.2
4,1,0.2083,0.42336897,19,10.5,7,2.5,1.5,1.5,2,0.4
4,1,0.2661,0.3292486,20,8.5,7,3.5,1.5,1.5,2,0.45
4,1,0.4225,1.06207207,17,4,7,2,1.5,1,2,0.25
4,1,0.0001,0.65377424,9,10,7,2,1.5,1.5,2,0.3
1,3.80E-07,0,7.50E-07,3,9,7,7,1.5,0.5,2,0.35
1,1.39E-06,0,2.79E-06,1,4.5,7,6.5,1.5,0.5,2,0.2
3,0.3132,0.1599,3.93E-06,9,5,7,7,1.5,1,2,0.3
2,0.15735,0.0549,5.67E-06,6,10.5,7,3,1.5,1,2,0.4
1,7.23E-06,0,1.45E-05,6,4.5,7,7,1.5,1.5,2,0.4
1,1.25E-05,0,2.49E-05,3,6.5,7,2.5,1.5,1,2,0.35
1,4.80E-07,0,9.50E-07,5,8.5,7,6.5,1.5,0.5,2,0.4
1,1.71E-05,0,3.42E-05,4,7,7,2,1.5,0.5,2,0.45
1,3.41E-06,0,6.82E-06,5,6.5,7,5.5,1.5,1.5,2,0.35
4,0.92743243,0.2117,0.12743243,6,7,7,6,1.5,0.5,2,0.15
